Associated,Central Services,Economics,Humanities,Law,Medicine,Psychology,Science,Theology,Interdisciplinary
0.101813667,0.257309942,0.061063333,0.084831014,0.109649123,0.350801578,0.106840942,0.100291641,0.195557963,0.085012172
0.101813667,0.249834496,0.061063333,0.084831014,0.109649123,0.350801578,0.106840942,0.100291641,0.195557963,0.085012172
0.09997362,0.24546876,0.061063333,0.084831014,0.109649123,0.350801578,0.106840942,0.100291641,0.185079958,0.085012172
0.082288662,0.24546876,0.051330383,0.075740424,0.109105265,0.330436141,0.088386753,0.082751507,0.169255113,0.072450805
0.082288662,0.24546876,0.04912157,0.068955452,0.09488436,0.330436141,0.088386753,0.082138959,0.159250069,0.068587662
0.082288662,0.24546876,0.04912157,0.06864417,0.094757942,0.26618144,0.088386753,0.082138959,0.159250069,0.068587662
0.082288662,0.24546876,0.04912157,0.06864417,0.088689338,0.26618144,0.088386753,0.082138959,0.159250069,0.068587662
0.082288662,0.24546876,0.04912157,0.06864417,0.088689338,0.26618144,0.088386753,0.082138959,0.159250069,0.068587662
0.082288662,0.224423454,0.04912157,0.06864417,0.088689338,0.26618144,0.088386753,0.082138959,0.159250069,0.068587662
0.082288662,0.219593955,0.04912157,0.06864417,0.088689338,0.26618144,0.088386753,0.082138959,0.159250069,0.068587662
0.067898457,0.219593955,0.042354249,0.063045126,0.088689338,0.26618144,0.074053828,0.069150544,0.141742331,0.060094297
0.067898457,0.219593955,0.04037356,0.056831787,0.078352587,0.26618144,0.074053828,0.068503442,0.132234432,0.056510073
0.067898457,0.219593955,0.04037356,0.056556993,0.073226545,0.262794635,0.074053828,0.068503442,0.132234432,0.056510073
0.067898457,0.219593955,0.04037356,0.056556993,0.073226545,0.244852049,0.074053828,0.068503442,0.132234432,0.056510073
0.067898457,0.219593955,0.04037356,0.056556993,0.073226545,0.244852049,0.074053828,0.068503442,0.132234432,0.056510073
0.067898457,0.215664018,0.04037356,0.056556993,0.073226545,0.134082437,0.074053828,0.068503442,0.132234432,0.056510073
0.067898457,0.215664018,0.04037356,0.056556993,0.073226545,0.134082437,0.074053828,0.068503442,0.132234432,0.056510073
